Active component type,Active component type formation energy,Active component type density,Active component content (wt percent),Promoter type,Promoter type formation energy,Promoter type density,Promoter content (wt percent),Support a type,Support a type formation energy,Support a type density,Support a content (wt percent),Support b type,Support b type formation energy,Support b type density,Preparation method,Preparation Scalability,Preparation cost,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time (h),Reduced hydrogen content (vol percent),Temperature (C),Pressure (bar),Weight hourly space velocity [mgcat/(min·ml)],Content of inert components in raw materials (vol percent),h2/co2 ratio (mol/mol),co2 conversion ratio (percent),ch4 selectivity (percent),ch4 yield (percent),Reference
Ni,0.046,9.22,4,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.32,87.004,1.148,[1]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,3.098,88.866,2.753,[1]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,12.633,88.704,11.206,[1]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,39.461,88.543,34.94,[1]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,62.896,89.757,56.454,[1]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,67.744,90.972,61.628,[1]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,66.613,86.761,57.794,[1]
Co,0.025,9.2,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.966,77.392,1.522,[1]
Co,0.025,9.2,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,4.714,77.776,3.666,[1]
Co,0.025,9.2,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,19.259,78.806,15.177,[1]
Co,0.025,9.2,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,37.684,78.462,29.568,[1]
Co,0.025,9.2,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,50.128,79.007,39.605,[1]
Co,0.025,9.2,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,57.724,78.341,45.222,[1]
Co,0.025,9.2,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,60.148,76.221,45.845,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,5,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.155,70.044,0.809,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,5,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,2.888,68.166,1.969,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,5,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,2.022,68.388,1.383,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,5,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,1.502,68.368,1.027,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,5,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,3.928,70.528,2.77,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,5,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,6.874,70.266,4.83,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,5,Al2O3,-3.352,3.87,90,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,11.726,69.195,8.114,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.966,88.375,1.737,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,4.552,88.435,4.026,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,15.057,88.334,13.3,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,43.502,88.314,38.418,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,61.279,89.748,54.997,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,67.744,90.696,61.441,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,68.067,85.831,58.423,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,5,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.643,89.667,1.473,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,5,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,4.391,89.646,3.936,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,5,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,18.128,89.788,16.277,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,5,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,49.966,89.768,44.853,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,5,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,64.35,89.748,57.753,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,5,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,69.037,90.858,62.726,[1]
Ni,0.046,9.22,10,Co,0.025,9.2,5,Al2O3,-3.352,3.87,85,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,66.936,86.8,58.1,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.481,74.969,1.11,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,3.259,75.919,2.474,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,13.118,75.737,9.935,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,10,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,35.582,75.716,26.941,[1]
